O/F,Pc_psia,Isp_s,Tc_R,Tt_R,Te_R,MW_lbm_lbmol,Gamma,Optimal_Eps,Pe_to_Pamb
2.00,400,255.48,3153.07,2744.19,1411.60,18.5356,1.3001,4.40,1.0002
2.00,450,255.70,3153.28,2744.81,1417.41,18.5375,1.2997,4.80,1.0086
2.00,500,255.90,3153.51,2745.50,1422.64,18.5395,1.2993,5.30,0.9893
2.00,550,256.08,3153.75,2746.24,1427.40,18.5418,1.2988,5.70,0.9938
2.00,600,256.25,3154.01,2747.04,1431.76,18.5441,1.2983,6.10,0.9964
2.00,650,256.41,3154.29,2747.89,1435.80,18.5466,1.2977,6.50,0.9976
2.00,700,256.56,3154.58,2748.79,1439.55,18.5493,1.2971,6.90,0.9976
2.00,750,256.70,3154.88,2749.73,1443.05,18.5521,1.2965,7.30,0.9969
2.00,800,256.83,3155.21,2750.72,1446.33,18.5550,1.2959,7.70,0.9955
2.00,850,256.96,3155.55,2751.75,1449.43,18.5581,1.2953,8.10,0.9937
2.00,900,257.07,3155.90,2752.82,1452.36,18.5612,1.2946,8.40,1.0062
2.00,950,257.19,3156.27,2753.92,1455.13,18.5645,1.2940,8.80,1.0030
2.00,1000,257.30,3156.65,2755.05,1457.77,18.5679,1.2933,9.20,0.9996
2.10,100,256.10,3331.34,2905.27,1345.97,18.8803,1.2960,1.70,0.9548
2.10,150,256.65,3331.63,2905.36,1364.72,18.8806,1.2960,2.10,1.0045
2.10,200,257.05,3331.82,2905.46,1378.34,18.8810,1.2960,2.50,1.0254
2.10,250,257.38,3331.98,2905.58,1389.09,18.8815,1.2959,3.00,0.9883
2.10,300,257.66,3332.11,2905.71,1397.99,18.8820,1.2959,3.40,1.0008
2.10,350,257.90,3332.23,2905.86,1405.60,18.8826,1.2958,3.80,1.0076
2.10,400,258.11,3332.35,2906.03,1412.25,18.8832,1.2958,4.20,1.0148
2.10,450,258.30,3332.46,2906.21,1418.16,18.8838,1.2957,4.70,0.9912
2.10,500,258.47,3332.58,2906.41,1423.49,18.8845,1.2956,5.10,0.9952
2.10,550,258.63,3332.69,2906.63,1428.34,18.8853,1.2955,5.50,0.9970
2.10,600,258.78,3332.81,2906.86,1432.79,18.8861,1.2954,5.90,0.9972
2.10,650,258.92,3332.93,2907.11,1436.90,18.8869,1.2952,6.30,0.9964
2.10,700,259.05,3333.05,2907.37,1440.73,18.8878,1.2951,6.70,0.9948
2.10,750,259.17,3333.18,2907.66,1444.30,18.8888,1.2950,7.10,0.9926
2.10,800,259.29,3333.31,2907.95,1447.66,18.8898,1.2948,7.40,1.0067
2.10,850,259.39,3333.45,2908.27,1450.83,18.8908,1.2946,7.80,1.0028
2.10,900,259.50,3333.59,2908.59,1453.82,18.8919,1.2945,8.20,0.9987
2.10,950,259.60,3333.73,2908.94,1456.66,18.8930,1.2943,8.60,0.9946
2.10,1000,259.69,3333.88,2909.29,1459.36,18.8942,1.2941,8.90,1.0043
2.20,100,259.00,3501.63,3061.40,1344.89,19.2229,1.2906,1.70,0.9593
2.20,150,259.47,3502.14,3061.48,1363.85,19.2232,1.2907,2.10,1.0058
2.20,200,259.82,3502.46,3061.54,1377.64,19.2234,1.2908,2.50,1.0161
2.20,250,260.11,3502.69,3061.61,1388.52,19.2237,1.2908,2.90,1.0172
2.20,300,260.34,3502.87,3061.67,1397.54,19.2240,1.2908,3.30,1.0167
2.20,350,260.55,3503.02,3061.74,1405.24,19.2243,1.2908,3.70,1.0150
2.20,400,260.74,3503.15,3061.81,1411.98,19.2246,1.2908,4.10,1.0121
2.20,450,260.90,3503.26,3061.88,1417.98,19.2249,1.2908,4.50,1.0083
2.20,500,261.06,3503.37,3061.96,1423.38,19.2252,1.2908,4.90,1.0038
2.20,550,261.19,3503.47,3062.04,1428.30,19.2256,1.2908,5.30,1.0025
2.20,600,261.32,3503.56,3062.13,1432.81,19.2259,1.2908,5.70,1.0001
2.20,650,261.44,3503.65,3062.22,1436.99,19.2263,1.2907,6.10,0.9970
2.20,700,261.56,3503.74,3062.32,1440.88,19.2267,1.2907,6.50,0.9935
2.20,750,261.66,3503.82,3062.42,1444.51,19.2271,1.2907,6.80,1.0079
2.20,800,261.76,3503.91,3062.53,1447.92,19.2275,1.2906,7.20,1.0026
2.20,850,261.86,3503.99,3062.64,1451.14,19.2279,1.2906,7.60,0.9974
2.20,900,261.95,3504.07,3062.76,1454.18,19.2284,1.2906,7.90,1.0078
2.20,950,262.04,3504.15,3062.88,1457.07,19.2289,1.2905,8.30,1.0018
2.20,1000,262.12,3504.24,3063.01,1459.82,19.2293,1.2905,8.70,0.9959
2.30,100,261.85,3663.29,3210.67,1343.27,19.5561,1.2854,1.70,0.9640
2.30,150,262.24,3664.18,3210.78,1362.42,19.5564,1.2856,2.10,1.0106
2.30,200,262.55,3664.73,3210.86,1376.33,19.5567,1.2858,2.50,1.0180
2.30,250,262.79,3665.11,3210.92,1387.33,19.5569,1.2859,2.90,1.0120
2.30,300,263.00,3665.40,3210.97,1396.43,19.5571,1.2859,3.30,1.0031
2.30,350,263.18,3665.63,3211.03,1404.22,19.5573,1.2860,3.70,0.9952
2.30,400,263.34,3665.82,3211.07,1411.04,19.5575,1.2860,4.10,0.9886
2.30,450,263.48,3665.98,3211.12,1417.10,19.5577,1.2860,4.40,1.0129
2.30,500,263.61,3666.12,3211.17,1422.56,19.5580,1.2860,4.80,1.0040
2.30,550,263.73,3666.25,3211.22,1427.54,19.5582,1.2861,5.20,0.9956
2.30,600,263.85,3666.36,3211.26,1432.10,19.5584,1.2861,5.50,1.0114
2.30,650,263.95,3666.47,3211.31,1436.33,19.5586,1.2861,5.90,1.0019
2.30,700,264.05,3666.57,3211.36,1440.26,19.5588,1.2861,6.30,0.9944
2.30,750,264.14,3666.66,3211.41,1443.94,19.5590,1.2861,6.60,1.0075
2.30,800,264.23,3666.74,3211.46,1447.39,19.5593,1.2861,7.00,1.0005
2.30,850,264.31,3666.82,3211.52,1450.65,19.5595,1.2861,7.40,0.9938
2.30,900,264.39,3666.90,3211.57,1453.73,19.5598,1.2861,7.70,1.0032
2.30,950,264.47,3666.98,3211.63,1456.66,19.5600,1.2861,8.10,0.9960
2.30,1000,264.54,3667.05,3211.68,1459.44,19.5603,1.2860,8.40,1.0037
2.40,100,264.61,3816.63,3353.47,1341.26,19.8802,1.2804,1.70,0.9685
2.40,150,264.95,3818.12,3353.67,1360.54,19.8806,1.2807,2.10,1.0158
2.40,200,265.21,3819.01,3353.79,1374.57,19.8809,1.2810,2.50,1.0230
2.40,250,265.42,3819.63,3353.88,1385.65,19.8812,1.2811,2.90,1.0150
2.40,300,265.59,3820.09,3353.95,1394.83,19.8814,1.2812,3.30,1.0016
2.40,350,265.75,3820.46,3354.02,1402.69,19.8816,1.2813,3.70,0.9876
2.40,400,265.89,3820.75,3354.07,1409.56,19.8818,1.2814,4.00,1.0102
2.40,450,266.01,3821.00,3354.12,1415.68,19.8819,1.2814,4.40,0.9958
2.40,500,266.13,3821.22,3354.16,1421.19,19.8821,1.2815,4.70,1.0125
2.40,550,266.23,3821.41,3354.20,1426.21,19.8823,1.2815,5.10,0.9993
2.40,600,266.33,3821.57,3354.24,1430.82,19.8824,1.2815,5.40,1.0122
2.40,650,266.42,3821.72,3354.28,1435.09,19.8826,1.2815,5.80,0.9998
2.40,700,266.50,3821.86,3354.32,1439.06,19.8828,1.2816,6.10,1.0098
2.40,750,266.59,3821.98,3354.36,1442.77,19.8829,1.2816,6.50,0.9979
2.40,800,266.66,3822.10,3354.39,1446.26,19.8831,1.2816,6.80,1.0059
2.40,850,266.73,3822.20,3354.43,1449.56,19.8833,1.2816,7.20,0.9946
2.40,900,266.80,3822.30,3354.47,1452.67,19.8834,1.2816,7.50,1.0011
2.40,950,266.87,3822.39,3354.50,1455.63,19.8836,1.2816,7.90,0.9922
2.40,1000,266.93,3822.48,3354.54,1458.44,19.8838,1.2817,8.20,0.9990
2.50,100,267.29,3961.92,3490.14,1338.93,20.1953,1.2753,1.70,0.9729
2.50,150,267.57,3964.23,3490.49,1358.33,20.1959,1.2759,2.10,1.0209
2.50,200,267.79,3965.62,3490.70,1372.44,20.1963,1.2762,2.50,1.0285
2.50,250,267.97,3966.58,3490.84,1383.59,20.1966,1.2765,2.90,1.0202
2.50,300,268.12,3967.29,3490.96,1392.84,20.1969,1.2766,3.30,1.0056
2.50,350,268.26,3967.86,3491.05,1400.75,20.1971,1.2768,3.70,0.9889
2.50,400,268.37,3968.31,3491.12,1407.67,20.1973,1.2769,4.00,1.0083
2.50,450,268.48,3968.69,3491.19,1413.83,20.1975,1.2770,4.40,0.9891
2.50,500,268.58,3969.02,3491.25,1419.39,20.1977,1.2770,4.70,1.0021
2.50,550,268.67,3969.30,3491.30,1424.45,20.1978,1.2771,5.00,1.0127
2.50,600,268.75,3969.55,3491.35,1429.10,20.1980,1.2772,5.40,0.9957
2.50,650,268.83,3969.77,3491.39,1433.40,20.1981,1.2772,5.70,1.0045
2.50,700,268.91,3969.97,3491.43,1437.40,20.1983,1.2772,6.10,0.9899
2.50,750,268.98,3970.15,3491.47,1441.14,20.1984,1.2773,6.40,0.9972
2.50,800,269.04,3970.31,3491.51,1444.66,20.1986,1.2773,6.70,1.0034
2.50,850,269.11,3970.46,3491.55,1447.98,20.1987,1.2773,7.00,1.0086
2.50,900,269.17,3970.60,3491.58,1451.12,20.1988,1.2774,7.40,0.9953
2.50,950,269.22,3970.73,3491.61,1454.10,20.1990,1.2774,7.70,0.9997
2.50,1000,269.28,3970.85,3491.65,1456.94,20.1991,1.2774,8.00,1.0034
2.60,100,269.88,4099.36,3620.93,1336.36,20.5015,1.2703,1.70,0.9772
2.60,150,270.12,4102.75,3621.52,1355.85,20.5024,1.2711,2.10,1.0260
2.60,200,270.30,4104.81,3621.87,1370.04,20.5031,1.2716,2.60,0.9721
2.60,250,270.45,4106.23,3622.11,1381.25,20.5035,1.2719,2.90,1.0257
2.60,300,270.58,4107.29,3622.29,1390.54,20.5039,1.2721,3.30,1.0109
2.60,350,270.69,4108.12,3622.43,1398.50,20.5042,1.2723,3.70,0.9936
2.60,400,270.79,4108.79,3622.55,1405.46,20.5044,1.2725,4.00,1.0119
2.60,450,270.88,4109.35,3622.65,1411.66,20.5046,1.2726,4.40,0.9905
