O/F,Pc_psia,Isp_s,Tc_R,Tt_R,Te_R,MW_lbm_lbmol,Gamma,Optimal_Eps,Pe_to_Pamb
3.10,400,284.23,4901.55,4410.63,1401.32,22.8788,1.2331,4.20,0.9954
3.10,450,284.24,4905.17,4411.76,1404.43,22.8805,1.2338,4.50,1.0130
3.10,500,284.25,4908.28,4412.71,1407.45,22.8819,1.2344,4.90,0.9954
3.10,550,284.26,4910.98,4413.54,1410.37,22.8832,1.2349,5.20,1.0054
3.10,600,284.26,4913.36,4414.26,1413.19,22.8842,1.2353,5.50,1.0124
3.10,650,284.27,4915.48,4414.90,1415.91,22.8852,1.2357,5.90,0.9926
3.10,700,284.28,4917.39,4415.48,1418.53,22.8861,1.2361,6.20,0.9965
3.10,750,284.29,4919.11,4415.99,1421.05,22.8869,1.2364,6.50,0.9988
3.10,800,284.30,4920.68,4416.46,1423.47,22.8876,1.2367,6.80,0.9999
3.10,850,284.30,4922.12,4416.88,1425.82,22.8882,1.2369,7.10,1.0000
3.10,900,284.31,4923.44,4417.27,1428.08,22.8888,1.2372,7.40,0.9993
3.10,950,284.32,4924.66,4417.63,1430.26,22.8894,1.2374,7.70,0.9979
3.10,1000,284.32,4925.80,4417.97,1432.38,22.8899,1.2376,8.00,0.9960
3.20,100,286.03,4928.14,4483.59,1422.15,23.0988,1.2158,1.70,1.0236
3.20,150,286.07,4950.90,4492.32,1421.87,23.1112,1.2200,2.20,1.0014
3.20,200,286.09,4965.46,4497.66,1422.32,23.1189,1.2226,2.60,1.0264
3.20,250,286.10,4975.87,4501.37,1423.21,23.1242,1.2245,3.10,0.9808
3.20,300,286.12,4983.82,4504.14,1424.40,23.1282,1.2260,3.50,0.9815
3.20,350,286.13,4990.18,4506.31,1425.82,23.1314,1.2271,3.80,1.0138
3.20,400,286.14,4995.41,4508.08,1427.38,23.1340,1.2281,4.20,1.0007
3.20,450,286.14,4999.82,4509.55,1429.04,23.1362,1.2289,4.60,0.9866
3.20,500,286.15,5003.61,4510.80,1430.77,23.1380,1.2296,4.90,1.0007
3.20,550,286.16,5006.92,4511.88,1432.53,23.1396,1.2302,5.20,1.0108
3.20,600,286.16,5009.84,4512.82,1434.32,23.1410,1.2307,5.60,0.9921
3.20,650,286.17,5012.44,4513.66,1436.10,23.1422,1.2312,5.90,0.9980
3.20,700,286.18,5014.78,4514.41,1437.90,23.1434,1.2316,6.20,1.0019
3.20,750,286.18,5016.90,4515.08,1439.66,23.1444,1.2320,6.50,1.0042
3.20,800,286.19,5018.83,4515.69,1441.41,23.1453,1.2324,6.80,1.0053
3.20,850,286.19,5020.60,4516.25,1443.13,23.1461,1.2327,7.10,1.0053
3.20,900,286.20,5022.23,4516.76,1444.82,23.1469,1.2330,7.40,1.0046
3.20,950,286.20,5023.74,4517.23,1446.48,23.1476,1.2333,7.70,1.0032
3.20,1000,286.21,5025.15,4517.67,1448.12,23.1483,1.2335,8.00,1.0013
3.30,100,287.81,5003.44,4569.67,1460.32,23.3366,1.2089,1.70,1.0293
3.30,150,287.86,5029.96,4580.65,1459.18,23.3520,1.2136,2.20,1.0069
3.30,200,287.88,5047.05,4587.41,1458.69,23.3616,1.2166,2.70,0.9738
3.30,250,287.90,5059.35,4592.12,1458.57,23.3683,1.2188,3.10,0.9862
3.30,300,287.91,5068.80,4595.65,1458.70,23.3734,1.2204,3.50,0.9868
3.30,350,287.93,5076.36,4598.42,1459.01,23.3774,1.2218,3.90,0.9813
3.30,400,287.94,5082.62,4600.68,1459.46,23.3806,1.2229,4.20,1.0062
3.30,450,287.94,5087.90,4602.56,1460.04,23.3834,1.2238,4.60,0.9920
3.30,500,287.95,5092.46,4604.16,1460.70,23.3857,1.2246,4.90,1.0062
3.30,550,287.96,5096.44,4605.54,1461.45,23.3877,1.2253,5.30,0.9891
3.30,600,287.96,5099.95,4606.76,1462.25,23.3895,1.2260,5.60,0.9975
3.30,650,287.97,5103.09,4607.83,1463.12,23.3911,1.2265,5.90,1.0034
3.30,700,287.97,5105.92,4608.79,1464.02,23.3925,1.2270,6.20,1.0073
3.30,750,287.98,5108.49,4609.66,1464.96,23.3938,1.2275,6.50,1.0096
