O/F, Pc (psia), Isp (s), Tc (R), Tt (R), Te (R), MW (lb/lbmol), gamma
3.30, 100, 287.81, 5003.44, 4569.67, 4569.67, 23.3366, 1.2089
3.30, 150, 287.86, 5029.96, 4580.65, 4580.65, 23.3520, 1.2136
3.30, 200, 287.88, 5047.05, 4587.41, 4587.41, 23.3616, 1.2166
3.30, 250, 287.90, 5059.35, 4592.12, 4592.12, 23.3683, 1.2188
3.30, 300, 287.91, 5068.80, 4595.65, 4595.65, 23.3734, 1.2204
3.30, 350, 287.93, 5076.36, 4598.42, 4598.42, 23.3774, 1.2218
3.30, 400, 287.94, 5082.62, 4600.68, 4600.68, 23.3806, 1.2229
3.30, 450, 287.94, 5087.90, 4602.56, 4602.56, 23.3834, 1.2238
3.30, 500, 287.95, 5092.46, 4604.16, 4604.16, 23.3857, 1.2246
3.30, 550, 287.96, 5096.44, 4605.54, 4605.54, 23.3877, 1.2253
3.30, 600, 287.96, 5099.95, 4606.76, 4606.76, 23.3895, 1.2260
3.30, 650, 287.97, 5103.09, 4607.83, 4607.83, 23.3911, 1.2265
3.30, 700, 287.97, 5105.92, 4608.79, 4608.79, 23.3925, 1.2270
3.30, 750, 287.98, 5108.49, 4609.66, 4609.66, 23.3938, 1.2275
3.30, 800, 287.98, 5110.83, 4610.45, 4610.45, 23.3949, 1.2279
3.30, 850, 287.99, 5112.98, 4611.16, 4611.16, 23.3960, 1.2283
3.30, 900, 287.99, 5114.96, 4611.82, 4611.82, 23.3970, 1.2286
3.30, 950, 287.99, 5116.80, 4612.43, 4612.43, 23.3979, 1.2289
3.30, 1000, 288.00, 5118.50, 4612.99, 4612.99, 23.3987, 1.2292
3.40, 100, 289.49, 5071.43, 4649.80, 4649.80, 23.5645, 1.2019
3.40, 150, 289.54, 5101.82, 4663.35, 4663.35, 23.5833, 1.2070
3.40, 200, 289.57, 5121.58, 4671.76, 4671.76, 23.5951, 1.2103
3.40, 250, 289.59, 5135.89, 4677.64, 4677.64, 23.6034, 1.2128
3.40, 300, 289.61, 5146.93, 4682.06, 4682.06, 23.6097, 1.2147
3.40, 350, 289.62, 5155.80, 4685.54, 4685.54, 23.6146, 1.2162
3.40, 400, 289.63, 5163.16, 4688.38, 4688.38, 23.6187, 1.2174
3.40, 450, 289.64, 5169.40, 4690.75, 4690.75, 23.6221, 1.2185
3.40, 500, 289.65, 5174.79, 4692.77, 4692.77, 23.6250, 1.2194
3.40, 550, 289.65, 5179.51, 4694.52, 4694.52, 23.6275, 1.2202
3.40, 600, 289.66, 5183.68, 4696.05, 4696.05, 23.6297, 1.2209
3.40, 650, 289.67, 5187.42, 4697.41, 4697.41, 23.6317, 1.2216
3.40, 700, 289.67, 5190.79, 4698.63, 4698.63, 23.6335, 1.2222
3.40, 750, 289.68, 5193.85, 4699.73, 4699.73, 23.6351, 1.2227
3.40, 800, 289.68, 5196.65, 4700.73, 4700.73, 23.6365, 1.2232
3.40, 850, 289.68, 5199.22, 4701.64, 4701.64, 23.6379, 1.2236
3.40, 900, 289.69, 5201.59, 4702.47, 4702.47, 23.6391, 1.2240
3.40, 950, 289.69, 5203.79, 4703.24, 4703.24, 23.6402, 1.2244
3.40, 1000, 289.69, 5205.84, 4703.96, 4703.96, 23.6413, 1.2247
3.50, 100, 291.05, 5132.30, 4723.86, 4723.86, 23.7824, 1.1948
3.50, 150, 291.11, 5166.62, 4740.31, 4740.31, 23.8050, 1.2002
3.50, 200, 291.15, 5189.14, 4750.59, 4750.59, 23.8192, 1.2039
3.50, 250, 291.18, 5205.53, 4757.81, 4757.81, 23.8293, 1.2065
3.50, 300, 291.20, 5218.24, 4763.27, 4763.27, 23.8370, 1.2086
3.50, 350, 291.21, 5228.51, 4767.57, 4767.57, 23.8430, 1.2103
3.50, 400, 291.23, 5237.04, 4771.09, 4771.09, 23.8480, 1.2117
3.50, 450, 291.24, 5244.31, 4774.04, 4774.04, 23.8522, 1.2129
3.50, 500, 291.25, 5250.59, 4776.55, 4776.55, 23.8558, 1.2140
3.50, 550, 291.25, 5256.10, 4778.73, 4778.73, 23.8589, 1.2149
3.50, 600, 291.26, 5260.99, 4780.64, 4780.64, 23.8616, 1.2157
3.50, 650, 291.27, 5265.38, 4782.34, 4782.34, 23.8641, 1.2164
3.50, 700, 291.27, 5269.34, 4783.86, 4783.86, 23.8662, 1.2171
3.50, 750, 291.28, 5272.94, 4785.24, 4785.24, 23.8682, 1.2177
3.50, 800, 291.28, 5276.24, 4786.48, 4786.48, 23.8700, 1.2182
3.50, 850, 291.29, 5279.27, 4787.62, 4787.62, 23.8717, 1.2187
3.50, 900, 291.29, 5282.07, 4788.67, 4788.67, 23.8732, 1.2192
3.50, 950, 291.30, 5284.68, 4789.64, 4789.64, 23.8746, 1.2196
3.50, 1000, 291.30, 5287.10, 4790.53, 4790.53, 23.8759, 1.2200
3.60, 100, 292.52, 5186.34, 4791.73, 4791.73, 23.9902, 1.1877
3.60, 150, 292.59, 5224.56, 4811.37, 4811.37, 24.0169, 1.1934
3.60, 200, 292.64, 5249.85, 4823.74, 4823.74, 24.0339, 1.1972
3.60, 250, 292.67, 5268.38, 4832.50, 4832.50, 24.0460, 1.2001
3.60, 300, 292.69, 5282.81, 4839.13, 4839.13, 24.0552, 1.2024
3.60, 350, 292.71, 5294.52, 4844.38, 4844.38, 24.0625, 1.2042
3.60, 400, 292.73, 5304.29, 4848.68, 4848.68, 24.0685, 1.2058
